Sr. No.;Cement (kg/m3);Fly ash (kg/m3);Water/powder (kg/m3);SP dosage (%);Sand (kg/m3) ;Coarse Agg (kg/m3);Strength (MPa)
1;290;100;0.45;0.80;913;837;42.7
2;250;261;0.55;0.50;478;837;17
3;210;100;0.65;0.80;910;837;19.1
4;250;160;0.55;0.50;742;837;24.1
5;210;220;0.45;0.80;768;837;26.7
6;290;100;0.65;0.20;709;837;26.6
7;290;220;0.45;0.20;625;837;32.9
8;250;160;0.55;0.50;742;837;26
9;250;160;0.55;0.50;742;837;28.5
10;250;160;0.55;0.50;742;837;26.4
11;250;160;0.55;0.0;739;837;27.3
12;317;160;0.55;0.50;594;837;29.1
13;210;220;0.65;0.20;562;837;10.2
14;250;160;0.55;0.50;742;837;25.3
15;250;160;0.38;0.50;919;837;36.3
16;250;160;0.55;1.0;746;837;26.7
17;250;160;0.72;0.50;566;837;11
18;183;160;0.55;0.50;891;837;22.1
19;220;180;0.39;0.35;916;900;49
20;220;180;0.39;0.35;916;900;49
21;160;240;0.39;0.35;886;900;44
22;193;158;0.39;0.35;1024;900;44
23;220;180;0.45;0.35;850;900;38
24;198;232;0.34;0.20;874;900;46
25;248;203;0.39;0.35;808;900;50
26;237;133;0.36;0.20;1034;900;49
27;220;180;0.39;0.35;916;900;49
28;237;133;0.43;0.50;960;900;46
29;275;155;0.43;0.50;827;900;48
30;280;120;0.39;0.35;946;900;45
31;170;200;0.43;0.20;930;900;31
32;220;180;0.39;0.60;916;900;43
33;220;180;0.39;0.35;916;900;47
34;220;180;0.39;0.10;916;900;44
35;198;232;0.36;0.50;872;900;52
36;220;180;0.39;0.35;916;900;45
37;220;180;0.33;0.35;982;900;51
38;170;200;0.43;0.50;928;900;33
39;275;155;0.43;0.20;830;900;36
40;247;165;0.45;0.12;845;846;34.6
41;238;159;0.40;0.29;844;844;37.8
42;232;155;0.35;0.38;846;847;48.3
43;207;207;0.45;0.40;845;843;33.2
44;200;200;0.40;0.17;842;843;34.9
45;197;197;0.35;0.28;856;856;38.9
46;169;254;0.45;0.0;853;853;30.2
47;163;245;0.40;0.20;851;851;26.2
48;161;241;0.35;0.30;866;864;35.8
49;350;162;0.59;0.09;768;840;51.7
50;349;162;0.57;0.14;779;852;59.9
51;350;133;0.52;0.16;815;883;55.3
52;350;111;0.51;0.15;831;900;61
53;250;257;0.77;0.11;787;853;51.5
54;427;115;0.45;0.12;779;844;59.4
55;348;224;0.50;0.43;783;848;58.6
56;350;90;0.48;0.14;852;923;46.5
57;327;173;0.53;0.20;902;803;61.6
58;380;145;0.48;0.10;788;854;73.5
59;350;186;0.51;0.11;786;851;70.4
60;380;145;0.48;0.13;988;659;65.5
61;380;192;0.53;0.10;931;621;67.8
62;275;250;0.67;0.09;775;840;54.5
63;325;60;0.65;0.43;899;850;30.8
64;325;60;0.65;0.43;899;850;32.6
65;325;120;0.75;0.43;755;850;32.2
66;249;60;0.68;0.43;1079;850;24
67;325;60;0.85;0.43;722;850;13.3
68;370;96;0.57;0.25;833;850;39.5
69;400;60;0.63;0.43;718;850;30.4
70;325;60;0.65;0.43;899;850;35.3
71;370;24;0.69;0.62;770;850;18.7
72;325;0;0.55;0.43;1042;850;41.2
73;280;96;0.87;0.25;820;850;19.6
74;325;60;0.65;0.75;896;850;27.7
75;325;60;0.65;0.43;898;850;35
76;325;60;0.65;0.12;900;850;31.4
77;370;96;0.57;0.62;830;850;38.8
78;325;60;0.65;0.43;898;850;34.3
79;280;96;0.87;0.62;817;850;15.9
80;370;24;0.69;0.25;772;850;26.4
